src,tgt,src_label,tgt_label,src_cat,tgt_cat,src_summary,tgt_summary,cur_type,new_type,new_weight,hint,impact,note
K085,K001,综合知识,问题创造现实,学习,意义与目的,知道得多不叫懂；多领域能串通才是综合。,提问方式决定你能看见的世界；问题的形塑力大于答案。,related,,,相关,11,
K088,K082,可取的困难,ICAP 学习层级,学习,学习,有些困难提升能力，有些耗竭能力；选前者。,被动-主动-建构-互动四层；越建构越深。,related,,,related,11,
K059,K068,高认知负荷,分布,学习,认知,工作记忆带宽有限；过载时学习、判断、决策全面降级。,看均值会忽略尾部；看分布才能看见可能。,related,,,相关,10,
K082,K087,ICAP 学习层级,反馈（Feedback）,学习,学习,被动-主动-建构-互动四层；越建构越深。,没有反馈就没有学习；反馈越快越具体，能力曲线越陡。,related,,,related,10,
K083,K087,刻意练习,反馈（Feedback）,学习,学习,练习不是重复；是跳出舒适区 + 反馈 + 修正。,没有反馈就没有学习；反馈越快越具体，能力曲线越陡。,related,,,related,10,
K086,K087,默会知识,反馈（Feedback）,学习,学习,能做的说不出的知识；高手的核心优势。,没有反馈就没有学习；反馈越快越具体，能力曲线越陡。,related,,,related,10,
K081,K082,认知负载（理论）,ICAP 学习层级,学习,学习,短期记忆有限；学习设计要让多余负荷让位于相关负荷。,被动-主动-建构-互动四层；越建构越深。,related,,,related,9,
K082,K085,ICAP 学习层级,综合知识,学习,学习,被动-主动-建构-互动四层；越建构越深。,知道得多不叫懂；多领域能串通才是综合。,related,,,related,9,
K084,K048,表征 / 图式 / 心智 / 解释,叙事（故事）,学习,认知,心智不是事实的拷贝，是'表征+图式'的解释机器。,我们活在自己讲的故事里；改写叙事 = 改写现实。,related,,,相关,9,
K084,K086,表征 / 图式 / 心智 / 解释,默会知识,学习,学习,心智不是事实的拷贝，是'表征+图式'的解释机器。,能做的说不出的知识；高手的核心优势。,related,,,related,9,
K085,K086,综合知识,默会知识,学习,学习,知道得多不叫懂；多领域能串通才是综合。,能做的说不出的知识；高手的核心优势。,related,,,related,9,
K087,K088,反馈（Feedback）,可取的困难,学习,学习,没有反馈就没有学习；反馈越快越具体，能力曲线越陡。,有些困难提升能力，有些耗竭能力；选前者。,related,,,related,9,
K059,K026,高认知负荷,写下来（A.B.C）,学习,行动,工作记忆带宽有限；过载时学习、判断、决策全面降级。,心智外移到纸上；'写'是认知的廉价外骨骼。,related,,,相关,8,
K081,K088,认知负载（理论）,可取的困难,学习,学习,短期记忆有限；学习设计要让多余负荷让位于相关负荷。,有些困难提升能力，有些耗竭能力；选前者。,related,,,related,8,
K059,K081,高认知负荷,认知负载（理论）,学习,学习,工作记忆带宽有限；过载时学习、判断、决策全面降级。,短期记忆有限；学习设计要让多余负荷让位于相关负荷。,related,,,related,6,
K032,K020,压力（break）,Event→Thought→Emotion,情绪,认知,压力不是负担，是'被需要'的信号；用对就增益。,情绪不是事件直接给的，是认知扭曲塑造的（ABC 模型）。,related,,,treats / reframes,19,
K061,K020,负面情绪,Event→Thought→Emotion,情绪,认知,负面情绪是数据，不是要消灭的敌人；信号读完即可放行。,情绪不是事件直接给的，是认知扭曲塑造的（ABC 模型）。,related,,,treats / reframes,17,
K003,K062,自尊,身份认同,情绪,身份,自尊不是高高在上，是稳定地知道'我值得被善待'。,身份是行为的持续模式；想做新事，先认领新身份。,related,,,相关,16,
K019,K020,想象,Event→Thought→Emotion,情绪,认知,想象是低成本的预演；也是焦虑的放大镜。,情绪不是事件直接给的，是认知扭曲塑造的（ABC 模型）。,related,,,treats / reframes,16,
K073,K052,脆弱和反脆弱,不确定性（Knightian）,情绪,系统与策略,脆弱 = 波动大；反脆弱 = 波动越大越受益。,不确定性不是敌人，是地图之外的总面积；管理它而不是消灭它。,related,,,相关,15,
K010,K022,幸福水平回归,感激（Gratitude）,情绪,情绪,幸福有基线；大好事/坏事会回归；不该指望外物持久拔高。,感激不是客气，是主动切到'足够'视角的方法。,related,,,同簇，多为 enables / prevents,13,
K010,K038,幸福水平回归,奖励过程（have → having）,情绪,行动,幸福有基线；大好事/坏事会回归；不该指望外物持久拔高。,不要等有结果再行动；要把过程的'奖励结构'重设计。,related,,,treats (行动解决情绪),13,
K022,K039,感激（Gratitude）,自我意识（what else do you want）,情绪,意义与目的,感激不是客气，是主动切到'足够'视角的方法。,问自己'还要什么'，让隐藏需求浮出；不主动问会被无意识填满。,related,,,相关,13,
K032,K010,压力（break）,幸福水平回归,情绪,情绪,压力不是负担，是'被需要'的信号；用对就增益。,幸福有基线；大好事/坏事会回归；不该指望外物持久拔高。,related,,,同簇，多为 enables / prevents,13,
K032,K073,压力（break）,脆弱和反脆弱,情绪,情绪,压力不是负担，是'被需要'的信号；用对就增益。,脆弱 = 波动大；反脆弱 = 波动越大越受益。,related,,,同簇，多为 enables / prevents,13,
K017,K048,P or N 视角,叙事（故事）,情绪,认知,同一事件，可用成长视角（P）或威胁视角（N）解读。,我们活在自己讲的故事里；改写叙事 = 改写现实。,related,,,treats / reframes,12,
K073,K074,脆弱和反脆弱,期权（Options）,情绪,系统与策略,脆弱 = 波动大；反脆弱 = 波动越大越受益。,保留廉价的不对称机会；放弃确定性换取可能。,related,,,相关,12,
K003,K073,自尊,脆弱和反脆弱,情绪,情绪,自尊不是高高在上，是稳定地知道'我值得被善待'。,脆弱 = 波动大；反脆弱 = 波动越大越受益。,related,,,同簇，多为 enables / prevents,11,
K004,K010,消极,幸福水平回归,情绪,情绪,消极不只是情绪，是思维的默认通道；可以训练切换。,幸福有基线；大好事/坏事会回归；不该指望外物持久拔高。,related,,,同簇，多为 enables / prevents,11,
K017,K013,P or N 视角,Be the change you want to see in the world,情绪,意义与目的,同一事件，可用成长视角（P）或威胁视角（N）解读。,想要的世界由你先活成；先活后等不是因果，是唯一路径。,related,,,相关,11,
K018,K073,失败 More,脆弱和反脆弱,情绪,情绪,失败不是反例，是数据；量比质更重要。,脆弱 = 波动大；反脆弱 = 波动越大越受益。,related,,,同簇，多为 enables / prevents,11,
K040,K017,3P：许可 / 积极 / 视角,P or N 视角,情绪,情绪,Permission / Positive / Perspective：给情绪三,同一事件，可用成长视角（P）或威胁视角（N）解读。,related,,,同簇，多为 enables / prevents,11,
K040,K025,3P：许可 / 积极 / 视角,take time off,情绪,行动,Permission / Positive / Perspective：给情绪三,战略性撤退是生产力工具，不是奖励。,related,,,treats (行动解决情绪),11,
K042,K039,内向 / 外向（恢复）,自我意识（what else do you want）,情绪,意义与目的,能量有主要来源；不充电就会失控。,问自己'还要什么'，让隐藏需求浮出；不主动问会被无意识填满。,related,,,相关,11,
K004,K022,消极,感激（Gratitude）,情绪,情绪,消极不只是情绪，是思维的默认通道；可以训练切换。,感激不是客气，是主动切到'足够'视角的方法。,related,,,同簇，多为 enables / prevents,10,
K008,K010,笑,幸福水平回归,情绪,情绪,笑能反向重塑情绪回路；不是掩饰，是生理工具。,幸福有基线；大好事/坏事会回归；不该指望外物持久拔高。,related,,,同簇，多为 enables / prevents,10,
K061,K017,负面情绪,P or N 视角,情绪,情绪,负面情绪是数据，不是要消灭的敌人；信号读完即可放行。,同一事件，可用成长视角（P）或威胁视角（N）解读。,related,,,同簇，多为 enables / prevents,10,
K003,K040,自尊,3P：许可 / 积极 / 视角,情绪,情绪,自尊不是高高在上，是稳定地知道'我值得被善待'。,Permission / Positive / Perspective：给情绪三,related,,,同簇，多为 enables / prevents,9,
K004,K040,消极,3P：许可 / 积极 / 视角,情绪,情绪,消极不只是情绪，是思维的默认通道；可以训练切换。,Permission / Positive / Perspective：给情绪三,related,,,同簇，多为 enables / prevents,9,
K008,K022,笑,感激（Gratitude）,情绪,情绪,笑能反向重塑情绪回路；不是掩饰，是生理工具。,感激不是客气，是主动切到'足够'视角的方法。,related,,,同簇，多为 enables / prevents,9,
K018,K013,失败 More,Be the change you want to see in the world,情绪,意义与目的,失败不是反例，是数据；量比质更重要。,想要的世界由你先活成；先活后等不是因果，是唯一路径。,related,,,相关,9,
K019,K032,想象,压力（break）,情绪,情绪,想象是低成本的预演；也是焦虑的放大镜。,压力不是负担，是'被需要'的信号；用对就增益。,related,,,同簇，多为 enables / prevents,9,
K041,K006,灵药（Magical Thinking）,理想 + 现实 + Action,情绪,行动,没有万能解决方案；过度渴望'灵药'反而延迟行动。,理想画方向，现实给约束；二者之间只活 Action。,related,,,treats (行动解决情绪),9,
K041,K035,灵药（Magical Thinking）,拖延,情绪,行动,没有万能解决方案；过度渴望'灵药'反而延迟行动。,拖延不是懒，是情绪管理失败（怕失败/求完美/怕无聊）。,related,,,treats (行动解决情绪),9,
K061,K005,负面情绪,接纳（Acceptance）,情绪,意义与目的,负面情绪是数据，不是要消灭的敌人；信号读完即可放行。,接纳不是认输，是停止用能量抵抗已发生的事，把省下来的能量用于能做的。,related,,,相关,9,
K061,K040,负面情绪,3P：许可 / 积极 / 视角,情绪,情绪,负面情绪是数据，不是要消灭的敌人；信号读完即可放行。,Permission / Positive / Perspective：给情绪三,related,,,同簇，多为 enables / prevents,9,
K019,K088,想象,可取的困难,情绪,学习,想象是低成本的预演；也是焦虑的放大镜。,有些困难提升能力，有些耗竭能力；选前者。,related,,,相关,8,
K008,K004,笑,消极,情绪,情绪,笑能反向重塑情绪回路；不是掩饰，是生理工具。,消极不只是情绪，是思维的默认通道；可以训练切换。,related,,,同簇，多为 enables / prevents,7,
K001,K031,问题创造现实,Calling,意义与目的,意义与目的,提问方式决定你能看见的世界；问题的形塑力大于答案。,Calling 不是职业而是回响；做对的事会回响到对的人。,related,,,related,15,
K001,K039,问题创造现实,自我意识（what else do you want）,意义与目的,意义与目的,提问方式决定你能看见的世界；问题的形塑力大于答案。,问自己'还要什么'，让隐藏需求浮出；不主动问会被无意识填满。,related,,,related,15,
K001,K048,问题创造现实,叙事（故事）,意义与目的,认知,提问方式决定你能看见的世界；问题的形塑力大于答案。,我们活在自己讲的故事里；改写叙事 = 改写现实。,related,,,相关,14,
K002,K014,No One Is Coming,信念,意义与目的,身份,没人会来救你；自我负责是所有主体的起点。,信念是行为的地基；改变行为先改信念，信念变了世界就跟着变。,related,,,相关,14,
K031,K039,Calling,自我意识（what else do you want）,意义与目的,意义与目的,Calling 不是职业而是回响；做对的事会回响到对的人。,问自己'还要什么'，让隐藏需求浮出；不主动问会被无意识填满。,related,,,related,14,
K002,K039,No One Is Coming,自我意识（what else do you want）,意义与目的,意义与目的,没人会来救你；自我负责是所有主体的起点。,问自己'还要什么'，让隐藏需求浮出；不主动问会被无意识填满。,related,,,related,13,
K101,K001,米提斯（Metis）,问题创造现实,意义与目的,意义与目的,智慧不止'知道'，更包括'知道何时、用何、为何'的实践巧思。,提问方式决定你能看见的世界；问题的形塑力大于答案。,related,,,related,13,
K031,K101,Calling,米提斯（Metis）,意义与目的,意义与目的,Calling 不是职业而是回响；做对的事会回响到对的人。,智慧不止'知道'，更包括'知道何时、用何、为何'的实践巧思。,related,,,related,12,
K039,K057,自我意识（what else do you want）,自我觉得论（SDT）,意义与目的,认知,问自己'还要什么'，让隐藏需求浮出；不主动问会被无意识填满。,自主、胜任、归属三需求被满足时，动机与幸福最稳。,related,,,相关,12,
K110,K031,死亡（Death）,Calling,意义与目的,意义与目的,把死亡放在视野中央，反而让活着变清晰；它是意义的最强催化剂。,Calling 不是职业而是回响；做对的事会回响到对的人。,related,,,related,12,
K002,K005,No One Is Coming,接纳（Acceptance）,意义与目的,意义与目的,没人会来救你；自我负责是所有主体的起点。,接纳不是认输，是停止用能量抵抗已发生的事，把省下来的能量用于能做的。,related,,,related,11,
K002,K013,No One Is Coming,Be the change you want to see in the world,意义与目的,意义与目的,没人会来救你；自我负责是所有主体的起点。,想要的世界由你先活成；先活后等不是因果，是唯一路径。,related,,,related,11,
K005,K017,接纳（Acceptance）,P or N 视角,意义与目的,情绪,接纳不是认输，是停止用能量抵抗已发生的事，把省下来的能量用于能做的。,同一事件，可用成长视角（P）或威胁视角（N）解读。,related,,,相关,11,
K012,K010,追求幸福,幸福水平回归,意义与目的,情绪,幸福不靠追求，靠'过程设计'；瞄着幸福会偏离。,幸福有基线；大好事/坏事会回归；不该指望外物持久拔高。,related,,,相关,11,
K012,K039,追求幸福,自我意识（what else do you want）,意义与目的,意义与目的,幸福不靠追求，靠'过程设计'；瞄着幸福会偏离。,问自己'还要什么'，让隐藏需求浮出；不主动问会被无意识填满。,related,,,related,11,
K013,K050,Be the change you want to see in the world,能动性（Agency）,意义与目的,系统与策略,想要的世界由你先活成；先活后等不是因果，是唯一路径。,能动性 = 你能动的杠杆点 + 你真的去动；知道+做 = 主权。,related,,,相关,11,
K101,K086,米提斯（Metis）,默会知识,意义与目的,学习,智慧不止'知道'，更包括'知道何时、用何、为何'的实践巧思。,能做的说不出的知识；高手的核心优势。,related,,,相关,11,
K110,K002,死亡（Death）,No One Is Coming,意义与目的,意义与目的,把死亡放在视野中央，反而让活着变清晰；它是意义的最强催化剂。,没人会来救你；自我负责是所有主体的起点。,related,,,related,11,
K110,K053,死亡（Death）,3个我（进程、界面、内核）,意义与目的,身份,把死亡放在视野中央，反而让活着变清晰；它是意义的最强催化剂。,内核稳定，界面灵活，进程是当下任务；改界面不改内核。,related,,,相关,11,
K005,K013,接纳（Acceptance）,Be the change you want to see in the world,意义与目的,意义与目的,接纳不是认输，是停止用能量抵抗已发生的事，把省下来的能量用于能做的。,想要的世界由你先活成；先活后等不是因果，是唯一路径。,related,,,related,10,
K012,K022,追求幸福,感激（Gratitude）,意义与目的,情绪,幸福不靠追求，靠'过程设计'；瞄着幸福会偏离。,感激不是客气，是主动切到'足够'视角的方法。,related,,,相关,10,
K110,K101,死亡（Death）,米提斯（Metis）,意义与目的,意义与目的,把死亡放在视野中央，反而让活着变清晰；它是意义的最强催化剂。,智慧不止'知道'，更包括'知道何时、用何、为何'的实践巧思。,related,,,related,10,
K005,K012,接纳（Acceptance）,追求幸福,意义与目的,意义与目的,接纳不是认输，是停止用能量抵抗已发生的事，把省下来的能量用于能做的。,幸福不靠追求，靠'过程设计'；瞄着幸福会偏离。,related,,,related,9,
K052,K069,不确定性（Knightian）,贝叶斯,系统与策略,认知,不确定性不是敌人，是地图之外的总面积；管理它而不是消灭它。,信念随证据更新；好判断不是更准，是更快纠错。,related,,,相关,16,
K063,K094,赛道选择,沃德利地图（Wardley Maps）,系统与策略,系统与策略,努力 ≠ 价值；选对赛道，努力 ×10，×100。,看清演化阶段：Genesis → Custom → Product → Comm,related,,,related,15,
K046B,K094,场景（系统中）,沃德利地图（Wardley Maps）,系统与策略,系统与策略,同一个动作在不同场景下意义全变；先识别场景再行动。,看清演化阶段：Genesis → Custom → Product → Comm,related,,,related,13,
K049,K052,重尾（Fat Tail）,不确定性（Knightian）,系统与策略,系统与策略,极少数事件占绝大多数结果；要为尾巴下注。,不确定性不是敌人，是地图之外的总面积；管理它而不是消灭它。,related,,,related,13,
K050,K006,能动性（Agency）,理想 + 现实 + Action,系统与策略,行动,能动性 = 你能动的杠杆点 + 你真的去动；知道+做 = 主权。,理想画方向，现实给约束；二者之间只活 Action。,related,,,相关,13,
K055,K094,供给侧心态,沃德利地图（Wardley Maps）,系统与策略,系统与策略,不要追需求，要造供给；让别人'找不到替代'。,看清演化阶段：Genesis → Custom → Product → Comm,related,,,related,13,
K065,K094,探索与利用,沃德利地图（Wardley Maps）,系统与策略,系统与策略,利用已知的稳赢 vs 探索未知的高奖；分配比例 = 阶段决定。,看清演化阶段：Genesis → Custom → Product → Comm,related,,,related,13,
K071,K052,凯利公式（Kelly Criterion）,不确定性（Knightian）,系统与策略,系统与策略,按优势/赔率定下注比例；ALL IN 几乎必败。,不确定性不是敌人，是地图之外的总面积；管理它而不是消灭它。,related,,,related,13,
K089,K094,租（Rent）,沃德利地图（Wardley Maps）,系统与策略,系统与策略,租金 = 你比平均多留的部分；区分真租与租寻。,看清演化阶段：Genesis → Custom → Product → Comm,related,,,related,13,
K095,K094,成本病（Baumol）,沃德利地图（Wardley Maps）,系统与策略,系统与策略,人力密集行业效率提升慢，工资追通胀而生产力不增 = 病。,看清演化阶段：Genesis → Custom → Product → Comm,related,,,related,13,
K007,K094,平均 / 顶尖（选目标对象）,沃德利地图（Wardley Maps）,系统与策略,系统与策略,参照物决定天花板；和顶尖比你会更尖，和平均比你会平庸。,看清演化阶段：Genesis → Custom → Product → Comm,related,,,related,12,
K050,K002,能动性（Agency）,No One Is Coming,系统与策略,意义与目的,能动性 = 你能动的杠杆点 + 你真的去动；知道+做 = 主权。,没人会来救你；自我负责是所有主体的起点。,related,,,相关,12,
K050,K044,能动性（Agency）,主动性 / 建立联系,系统与策略,关系与社会,能动性 = 你能动的杠杆点 + 你真的去动；知道+做 = 主权。,网络是被构建的，不是'有'的；联结是双向投资。,related,,,相关,12,
K071,K068,凯利公式（Kelly Criterion）,分布,系统与策略,认知,按优势/赔率定下注比例；ALL IN 几乎必败。,看均值会忽略尾部；看分布才能看见可能。,related,,,相关,12,
K092,K094,窗口（Window）,沃德利地图（Wardley Maps）,系统与策略,系统与策略,机会不会永远开着；对窗口要快定快动。,看清演化阶段：Genesis → Custom → Product → Comm,related,,,related,12,
K027,K021,目标（选择与排序）,Focus,系统与策略,行动,目标不是同时做三件，是放弃其中两件。,Focus 是对'不做什么'的勇气。,related,,,相关,11,
K037,K021,80/20 法则,Focus,系统与策略,行动,20% 因决定 80% 结果；找那 20%，把时间全部压上去。,Focus 是对'不做什么'的勇气。,related,,,相关,11,
K046B,K064,场景（系统中）,场域,系统与策略,关系与社会,同一个动作在不同场景下意义全变；先识别场景再行动。,选场域比选努力更优先；好场域让平庸变优秀。,related,,,相关,11,
K092,K052,窗口（Window）,不确定性（Knightian）,系统与策略,系统与策略,机会不会永远开着；对窗口要快定快动。,不确定性不是敌人，是地图之外的总面积；管理它而不是消灭它。,related,,,related,11,
K007,K064,平均 / 顶尖（选目标对象）,场域,系统与策略,关系与社会,参照物决定天花板；和顶尖比你会更尖，和平均比你会平庸。,选场域比选努力更优先；好场域让平庸变优秀。,related,,,相关,10,
K027,K034,目标（选择与排序）,Say No,系统与策略,行动,目标不是同时做三件，是放弃其中两件。,说不的成本总被低估；说不的能力 = 自由。,related,,,相关,10,
K049,K074,重尾（Fat Tail）,期权（Options）,系统与策略,系统与策略,极少数事件占绝大多数结果；要为尾巴下注。,保留廉价的不对称机会；放弃确定性换取可能。,related,,,related,10,
K050,K055,能动性（Agency）,供给侧心态,系统与策略,系统与策略,能动性 = 你能动的杠杆点 + 你真的去动；知道+做 = 主权。,不要追需求，要造供给；让别人'找不到替代'。,related,,,related,10,
K051,K010,限制（能量）,幸福水平回归,系统与策略,情绪,能量是最真实的硬约束；不要用时间计量安排。,幸福有基线；大好事/坏事会回归；不该指望外物持久拔高。,related,,,相关,10,
K055,K063,供给侧心态,赛道选择,系统与策略,系统与策略,不要追需求，要造供给；让别人'找不到替代'。,努力 ≠ 价值；选对赛道，努力 ×10，×100。,related,,,related,10,
K056,K083,复利（Compound Interest）,刻意练习,系统与策略,学习,时间是复利的朋友，断点是它的敌人；不要频繁中断。,练习不是重复；是跳出舒适区 + 反馈 + 修正。,related,,,相关,10,
K065,K083,探索与利用,刻意练习,系统与策略,学习,利用已知的稳赢 vs 探索未知的高奖；分配比例 = 阶段决定。,练习不是重复；是跳出舒适区 + 反馈 + 修正。,related,,,相关,10,
K071,K074,凯利公式（Kelly Criterion）,期权（Options）,系统与策略,系统与策略,按优势/赔率定下注比例；ALL IN 几乎必败。,保留廉价的不对称机会；放弃确定性换取可能。,related,,,related,10,
K089,K063,租（Rent）,赛道选择,系统与策略,系统与策略,租金 = 你比平均多留的部分；区分真租与租寻。,努力 ≠ 价值；选对赛道，努力 ×10，×100。,related,,,related,10,
K092,K035,窗口（Window）,拖延,系统与策略,行动,机会不会永远开着；对窗口要快定快动。,拖延不是懒，是情绪管理失败（怕失败/求完美/怕无聊）。,related,,,相关,10,
K103,K089,柠檬市场（Lemons）,租（Rent）,系统与策略,系统与策略,劣币驱良币；信息不对称时市场失灵。,租金 = 你比平均多留的部分；区分真租与租寻。,related,,,related,10,
K007,K063,平均 / 顶尖（选目标对象）,赛道选择,系统与策略,系统与策略,参照物决定天花板；和顶尖比你会更尖，和平均比你会平庸。,努力 ≠ 价值；选对赛道，努力 ×10，×100。,related,,,related,9,
